,index,group,id,g1,g11,m,k,c,a,f,b,l,error,winner,log_error,logaf,logbc,logkm
213,142087445,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,1.1,0.06,0.01,2897.7305,0,7.971683123387227,-2.3978952727983707,-2.120263536200091,
214,142299012,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,0.9,0.05,0.01,2897.7305,0,7.971683123387227,-1.504077396776274,-2.3025850929940455,
215,142299016,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,0.9,0.06,0.01,2897.7305,0,7.971683123387227,-1.504077396776274,-2.120263536200091,
216,142087297,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,0.7,0.09,0.01,2897.7305,0,7.971683123387227,-1.9459101490553132,-1.7147984280919266,
217,142087293,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,0.7,0.08,0.01,2897.7305,0,7.971683123387227,-1.9459101490553132,-1.8325814637483102,
218,142087289,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,0.7,0.07,0.01,2897.7305,0,7.971683123387227,-1.9459101490553132,-1.9661128563728327,
219,142087285,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,0.7,0.06,0.01,2897.7305,0,7.971683123387227,-1.9459101490553132,-2.120263536200091,
220,142087541,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,1.3,0.1,0.01,2897.7305,0,7.971683123387227,-2.5649493574615367,-1.6094379124341003,
221,142087537,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,1.3,0.09,0.01,2897.7305,0,7.971683123387227,-2.5649493574615367,-1.7147984280919266,
222,142087193,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,0.5,0.03,0.01,2897.7305,0,7.971683123387227,-1.6094379124341003,-2.8134107167600364,
